Account Owner,Account Name,Sector,Supplier ,Current ACV,Potential ACV,
Daniel Clements,British Gas ,Energy,,0.00,614400.00,
Natalie Stevens,BritNed,Energy,,0.00,410600.00,
Natalie Stevens,"Brsk (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,BT,Telco,Ordnance Survey / Landmark,0.00,824400.00,
Natalie Stevens,"Buckminster Broadband (Buckminster, Leicestershire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Bulb Energy,Energy,,0.00,208150.00,
Tony Mabey,Cadent Gas,Energy,ESRI,1389873.57,614400.00,
Ben Ruhrmund,"Call Flow (Kent, England)",Telco,,0.00,278150.00,
Daniel Clements,"Call27 (Newcastle upon Tyne, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Cambridge Fibre (Cambridge, Cambridgeshire, England)",Telco,,0.00,278150.00,
Daniel Clements,Cambridge Water,Water/Waste,,0.00,711900.00,
Natalie Stevens,Cambridgeshire County Council Climate Change and Energy Services,Renewables,,0.00,208150.00,
Ben Ruhrmund,"Caravan Internet (Essex, England)",Telco,,0.00,278150.00,
Daniel Slater,Causeway Technologies Limited,Infrastructure (Transport),Idox,0.00,614400.00,
Ben Ruhrmund,CEMEX,Infrastructure (Transport),,0.00,410600.00,
Daniel Clements,Central Area Transmission System (CATS),Energy,,0.00,208150.00,
Natalie Stevens,Centrica Storage,Energy,,0.00,614400.00,
Daniel Clements,"Cerberus Networks (Middlesex, England)",Telco,,0.00,278150.00,
Conor Fitzpatrick,Chevron Traffic Management Limited,Infrastructure (Transport),Idox,0.00,208150.00,
Daniel Slater,CityFibre Limited,Telco,Idox,0.00,824400.00,
Natalie Stevens,"CIX (Surrey, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Clear Picture (Kent, England)",Telco,,0.00,278150.00,
Daniel Clements,"CloudScape Connect (Leicester, England)",Telco,,0.00,278150.00,
Natalie Stevens,CNG Services Ltd,Energy,,0.00,208150.00,
Natalie Stevens,"Colchester Fibre (Colchester, Essex, England)",Telco,,0.00,278150.00,
Chloe Lockett,Collett & Sons Ltd,Infrastructure (Transport),Idox,0.00,208150.00,
Ben Ruhrmund,Colt Technology Services,Telco,Idox,0.00,550600.00,
Natalie Stevens,"Community Fibre (London, England)",Telco,ESRI,57000.00,278150.00,
Natalie Stevens,"Connect Fibre (Cambridge, Cambridgeshire, England)",Telco,Idox,0.00,550600.00,
Natalie Stevens,"Connexin (England, London and Hull)",Telco,Landmark,53000.00,278150.00,
Ben Ruhrmund,ConocoPhillips,Energy,,0.00,410600.00,
Conor Fitzpatrick,Conrad Energy (Developments) Ltd,Renewables,Idox,0.00,208150.00,
Natalie Stevens,Co-Operative Energy ,Energy,,0.00,208150.00,
Fiona Frost,Core Highways (Regions) Ltd,Infrastructure (Transport),Idox,0.00,208150.00,
Nancy Chirau,Coriolis Energy Ltd,Energy,Idox,0.00,208150.00,
Ben Ruhrmund,"Cornwall Broadband (Bude, Cornwall, England)",Telco,,0.00,278150.00,
Daniel Clements,Corona Energy ,Energy,,0.00,208150.00,
Daniel Clements,"Country Connect (Newport, Wales)",Telco,,0.00,278150.00,
Natalie Stevens,"Countryside Broadband (Woodcote, Reading, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"County Broadband (Essex, England)",Telco,,0.00,278150.00,
Daniel Clements,"Cromarty Firth Wireless Broadband (Cromarty Firth, Scotland)",Telco,,0.00,278150.00,
Daniel Clements,CSP,Infrastructure (Transport),,0.00,208150.00,
Natalie Stevens,Cuckoo,Telco,Landmark,20000.00,278150.00,
Daniel Clements,Dalcour Maclaren Ltd,Infrastructure (Transport),Idox,0.00,410600.00,
Ben Ruhrmund,"Derbyshire Broadband (Derbyshire, England)",Telco,,0.00,278150.00,
Daniel Clements,Diamond Transmission Corporation,Energy,,0.00,208150.00,
Daniel Clements,"Direct Save Telecom (Hertfordshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Distant Voice (Weybridge, Surrey, England)",Telco,,0.00,278150.00,
Nancy Chirau,Downing Renewable Developments LLP,Renewables,Idox,0.00,410600.00,
Ben Ruhrmund,Drax,Energy,,0.00,208150.00,
Ben Ruhrmund,"Drimnin Community Broadband (Drimnin, Oban, Scotland)",Telco,,0.00,278150.00,
Natalie Stevens,DS Smith,Infrastructure (Transport),,0.00,208150.00,
Chloe Lockett,DTA Transportation Limited,Infrastructure (Transport),Idox,0.00,208150.00,
Tony Mabey,Dwr Cymru Welsh Water - OS Migration,Water/Waste,Ordnance Survey,472621.00,689400.00,
Daniel Clements,E (gas and Electricity) ,Energy,,0.00,410600.00,
Ben Ruhrmund,E Energy,Energy,,0.00,410600.00,
Natalie Stevens,E. ON Next / Sainsbury's Energy,Energy,,0.00,410600.00,
Ben Ruhrmund,E.ON,Energy,,0.00,410600.00,
Daniel Clements,"Earth (Ringwood, Hampshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Eclipse Broadband (Horsham, West Sussex, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Ecom (Whitchurch, Buckinghamshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Ecotricity Generation Limited,Energy,Idox,0.00,410600.00,
Nancy Chirau,EDF Energy limited,Energy,Idox,0.00,410600.00,
Nancy Chirau,EDF Energy Renewables Ltd,Renewables,Idox,0.00,410600.00,
Natalie Stevens,EE,Telco,,0.00,824400.00,
Ben Ruhrmund,EirGrid,Energy,,0.00,410600.00,
Natalie Stevens,Eleclink,Energy,,0.00,410600.00,
Tony Mabey,Electricity North West - OS Migration,Energy,Ordnance Survey,351317.00,591900.00,
Natalie Stevens,Elements Green Limited,Renewables,Idox,0.00,208150.00,
Conor Fitzpatrick,Elgin Energy ES CO Limited,Energy,Idox,0.00,410600.00,
Ben Ruhrmund,Energy Assets Networks,Energy,,0.00,208150.00,
Natalie Stevens,ENI & HIMOR c/o Penspen Ltd,Energy,,0.00,208150.00,
Daniel Clements,EnQuest,Energy,,0.00,208150.00,
Chloe Lockett,Enray Power Ltd,Energy,Idox,0.00,208150.00,
Conor Fitzpatrick,Enso Energy Ltd,Energy,Idox,0.00,208150.00,
Nancy Chirau,Enviromena Project Management UK Limited,Renewables,Idox,0.00,208150.00,
Natalie Stevens,Eon,Energy,Unknown,11949.00,614400.00,
Natalie Stevens,EP Langage Limited,Infrastructure (Transport),,0.00,208150.00,
Daniel Clements,Equitix,Energy,,0.00,208150.00,
Ben Ruhrmund,ES Pipelines Ltd,Energy,Idox,0.00,410600.00,
Ben Ruhrmund,ESB,Energy,,0.00,208150.00,
Natalie Stevens,ESP Utilities Group Ltd,Energy,Idox,0.00,208150.00,
Daniel Clements,Essar Energy,Energy,,0.00,208150.00,
Ben Ruhrmund,"Essex WiFi (Kelvedon, Essex, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,ESSO,Energy,,0.00,614400.00,
Natalie Stevens,euNetworks,Telco,,0.00,550600.00,
Chloe Lockett,Eurowind Energy Limited,Energy,Idox,9296.64,208150.00,
Daniel Clements,EXA Infrastructure,Infrastructure (Transport),,0.00,208150.00,
Daniel Clements,"Exascale (West Midlands, England)",Telco,,0.00,278150.00,
Natalie Stevens,"External Reality (Inverness, Scotland)",Telco,,0.00,278150.00,
Daniel Clements,Fastnet,Telco,,0.00,278150.00,
Daniel Clements,"FastNet (Brighton, England)",Telco,,0.00,278150.00,
Natalie Stevens,Fibre Assets Limited T/A Connect Fibre,Telco,Idox,175433.73,824400.00,
Natalie Stevens,fibre.net,Telco,,0.00,278150.00,
Daniel Clements,"Fibrecast (Dundee, Scotland)",Telco,,0.00,278150.00,
Natalie Stevens,"Fibreconnect (Newcastle, Tyne and Wear, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"FibreHop (Somerset, Clevedon, England)",Telco,,0.00,278150.00,
Daniel Clements,"FibreNest (Fulford, York, England)",Telco,,0.00,278150.00,
Natalie Stevens,Fibrus Networks GB Ltd,Telco,ESRI,25000.00,550600.00,
Ben Ruhrmund,"File Sanctuary (Middlesbrough, North Yorkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"FirstMile (Herefordshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Five Estuaries Offshore Wind Farm Ltd,Energy,Idox,7070.34,208150.00,
Nancy Chirau,Flotation Energy Limited,Energy,Idox,13407.00,208150.00,
Chloe Lockett,Force 9 Energy Limited,Energy,Idox,4765.13,208150.00,
Natalie Stevens,"Fram Broadband (Framlingham, Suffolk, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Freedomsat (Hampshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Freeola (Essex, England)",Telco,,0.00,278150.00,
Natalie Stevens,Fulcrum,Energy,Idox,16777.97,208150.00,
Daniel Clements,Full Fibre Ltd,Telco,Idox,0.00,278150.00,
Natalie Stevens,"Fusion Fibre Group (Liverpool, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"G.Network (London, England)",Telco,Esri,45000.00,278150.00,
Ben Ruhrmund,Gamma,Telco,,,278150.00,
Natalie Stevens,Gas Networks Ireland,Energy,Unknown,9000.00,614400.00,
Daniel Clements,Gateshead,Infrastructure (Transport),,0.00,208150.00,
Daniel Clements,Gazprom,Energy,,0.00,614400.00,
Nancy Chirau,GEO Environmental Engineering Ltd,Infrastructure (Transport),Idox,12241.41,208150.00,
Daniel Clements,"Giant (Liverpool, England)",Telco,,0.00,278150.00,
Natalie Stevens,"giffgaff (Slough, Berkshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Gigabeam (Itchen Abbas, Hampshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Gigabit Networks (Leicester, Leicestershire, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Gigaclear (Oxfordshire, England)",Telco,Landmark,0.00,278150.00,
Natalie Stevens,Glide Business Limited,Telco,Idox,23930.44,278150.00,
Daniel Clements,"Go Internet (Isle of Wight, England)",Telco,,0.00,278150.00,
Daniel Clements,GOFIBRE HOLDINGS LIMITED,Telco,Idox,58580.90,824400.00,
Natalie Stevens,Good Energy ,Energy,,0.00,410600.00,
Ben Ruhrmund,"Gradwell (Bath, England)",Telco,,0.00,278150.00,
Daniel Clements,"Grain (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,Granta Backbone Network,Telco,,0.00,278150.00,
Natalie Stevens,"Grayshott Gigabit (Hindhead, Surrey, England)",Telco,,0.00,278150.00,
Conor Fitzpatrick,Green Cat Renewables Ltd,Renewables,Idox,20537.40,410600.00,
Ben Ruhrmund,Green Energy UK,Energy,,0.00,410600.00,
Ben Ruhrmund,"Green Grass Broadband (Wiltshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Green ISP (West Yorkshire, England)",Telco,,0.00,278150.00,
Nancy Chirau,GreenPower (International) Ltd,Energy,Idox,8719.16,410600.00,
Natalie Stevens,GRIDSERVE EMEA DEPC LTD,Telco,Idox,73345.87,550600.00,
Conor Fitzpatrick,Hanson Quarry Products Europe Ltd,Infrastructure (Transport),Idox,16919.86,410600.00,
Nancy Chirau,Heathrow Airport Limited,Infrastructure (Transport),Idox,6870.24,208150.00,
Natalie Stevens,Hedgehog Grove Solar Farm Ltd,Renewables,Idox,0.00,208150.00,
Nancy Chirau,Hemiko Limited,Energy,Idox,33449.17,410600.00,
Natalie Stevens,"HERBS Broadband (Grantham, Leicestershire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Herefordshire Community Network (Bath, Somerset, England)",Telco,,0.00,278150.00,
Daniel Clements,"Hey! Broadband (Altrincham, Cheshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Highland Community Broadband (Scotland, Ullapool)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Highland Wireless (Scotland, Highland, Edderton)",Telco,,0.00,278150.00,
Ben Ruhrmund,Hirwaun Power,Energy,,0.00,208150.00,
Daniel Clements,"Home Telecom (West Sussex, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Home Unity (London, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Hull Fibre (Hull, East Yorkshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,Humbly Grove Energy,Renewables,,0.00,208150.00,
Ben Ruhrmund,Hyperoptic Ltd,Telco,Idox,22677.60,550600.00,
Natalie Stevens,"I Need Broadband (Nottingham, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"iD Mobile (London, England)",Telco,,0.00,278150.00,
Daniel Clements,ID Net,Telco,,0.00,278150.00,
Daniel Clements,"iDNET (Hertfordshire, England)",Telco,,0.00,278150.00,
Daniel Clements,IFA,Energy,,0.00,208150.00,
Ben Ruhrmund,IFA2,Energy,,0.00,208150.00,
Natalie Stevens,INEOS,Energy,,0.00,614400.00,
Ben Ruhrmund,INOVYN Enterprises,Energy,,0.00,208150.00,
Natalie Stevens,"iNTELLECT COMMUNICATIONS (London, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,InterGen,Energy,,0.00,208150.00,
Ben Ruhrmund,Internet Central,Telco,,0.00,278150.00,
Ben Ruhrmund,"InternetTY (Stoke-On-Trent, Staffordshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"iTALK (England, East Sussex)",Telco,,0.00,278150.00,
Natalie Stevens,"ITSwisp (Norfolk, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Jibba Jabba (South Yorkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Juice Broadband (Poole, Dorset, England)",Telco,,0.00,278150.00,
Natalie Stevens,Jurassic Fibre,Telco,Idox,0.00,550600.00,
Ben Ruhrmund,"Karma Computing (Newcastle Upon Tyne, England)",Telco,,0.00,278150.00,
Natalie Stevens,"KCOM (East Riding of Yorkshire, England)",Telco,Landmark,0.00,278150.00,
Natalie Stevens,"Kencomp (Cumbria, England)",Telco,,0.00,278150.00,
Daniel Clements,Kensa Utilities,Water/Waste,,0.00,240650.00,
Ben Ruhrmund,"Kijoma (West Sussex, England)",Telco,,0.00,278150.00,
Daniel Clements,"Kinetic Telecom (Essex, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Last Mile,Infrastructure (Transport),,0.00,410600.00,
Natalie Stevens,"Lawyers-Online (Herefordshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,LCC Communications,Telco,,0.00,550600.00,
Ben Ruhrmund,"Lebara (London, England)",Telco,,0.00,278150.00,
Nancy Chirau,Lee Valley Heat Network Operating Company Limited,Energy,Idox,7142.87,208150.00,
Daniel Clements,"Leetline (England, East Sussex, Uckfield)",Telco,,0.00,278150.00,
Ben Ruhrmund,LF Holdco 2 Ltd,Telco,Idox,14262.70,278150.00,
Ben Ruhrmund,"Lightning Fibre (Eastbourne, East Sussex)",Telco,Idox,0.00,278150.00,
Daniel Clements,Lightsource Holdings 2 Ltd,Telco,Idox,8942.96,550600.00,
Ben Ruhrmund,"Lightspeed Broadband (Spalding, Lincolnshire, England)",Telco,Idox,0.00,278150.00,
Ben Ruhrmund,Lightspeed Central Services Ltd,Telco,Idox,0.00,550600.00,
Ben Ruhrmund,Lightspeed Networks Ltd,Telco,Idox,56671.20,550600.00,
Natalie Stevens,"LilaConnect (Surrey, England)",Telco,Gaist,0.00,278150.00,
Nancy Chirau,Linear Engineering & Construction Ltd,Infrastructure (Transport),Idox,13596.00,208150.00,
Natalie Stevens,"Link Broadband (London, England)",Telco,,0.00,278150.00,
Daniel Clements,Lit Fibre Ltd,Telco,Idox,0.00,550600.00,
Daniel Clements,"Locheilnet (Scotland , Highlands , Fort William)",Telco,,0.00,278150.00,
Integration User,London Luton Airport Limited,Infrastructure (Transport),Idox,8143.36,208150.00,
Natalie Stevens,"London Web (Hertfordshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Loop Scorpio (Gloucestershire, England)",Telco,,0.00,278150.00,
Chloe Lockett,Lothian Broadband Networks Ltd,Telco,Idox,565.67,278150.00,
Ben Ruhrmund,Lumen Technologies UK Limited,Telco,Idox,43379.00,550600.00,
Natalie Stevens,"Lycamobile (London, England)",Telco,,0.00,278150.00,
Conor Fitzpatrick,M Group Telecom (Mobile Network Solutions) Limited,Telco,Idox,11279.43,278150.00,
Natalie Stevens,Mainline Pipelines,Telco,,0.00,550600.00,
Daniel Clements,Manchester Jetline,Infrastructure (Transport),,0.00,208150.00,
Ben Ruhrmund,Manx Utilities,Water/Waste,,0.00,475600.00,
Natalie Stevens,Marchwood Power,Energy,,0.00,208150.00,
Ben Ruhrmund,"Marykirk (Marykirk, Aberdeenshire, Scotland)",Telco,,0.00,278150.00,
Conor Fitzpatrick,Mayer Brown Limited,Infrastructure (Transport),Idox,8788.49,410600.00,
Daniel Clements,Melbourn Solar Limited,Renewables,,0.00,208150.00,
Ben Ruhrmund,Millbrook Power,Energy,,0.00,208150.00,
Natalie Stevens,Moray East Windfarm,Renewables,,0.00,208150.00,
Conor Fitzpatrick,Morven Offshore Wind Limited,Renewables,Idox,0.00,208150.00,
Fiona Frost,MS3 Networks Limited,Telco,Idox,20122.02,278150.00,
Daniel Clements,"MTH Networks (Northamptonshire, Kettering, England)",Telco,,0.00,278150.00,
Daniel Clements,MUA Group,Infrastructure (Transport),,0.00,208150.00,
Nancy Chirau,Muirhall Energy Ltd,Energy,Idox,35449.48,410600.00,
Natalie Stevens,"Multidata (England, Wiltshire, Swindon)",Telco,,0.00,278150.00,
Ben Ruhrmund,"N3 (Bassetlaw, Nottinghamshire, England)",Telco,,0.00,278150.00,
Tony Mabey,National Gas Transmission - OS Migration,Energy,Ordnance Survey,149043.00,591900.00,
Tony Mabey,National Grid Electricity Transmission - OS Migration,Energy,Ordnance Survey,167481.00,591900.00,
Natalie Stevens,Natural Power Consultants Ltd,Renewables,Idox,26428.93,410600.00,
Ben Ruhrmund,Nemo Link,Telco,,0.00,278150.00,
Daniel Clements,Neos Networks Limited,Telco,Idox,290409.98,824400.00,
Conor Fitzpatrick,NNB Generation Company (HPC) Limited,Energy,Idox,21333.00,410600.00,
Daniel Clements,"No One (East Sussex, England)",Telco,,0.00,278150.00,
Natalie Stevens,Norfolk Vanguard Limited,Renewables,Idox,13852.00,208150.00,
Natalie Stevens,North Sea Link,Renewables,,0.00,208150.00,
Tony Mabey,Northern Gas Networks - OS Migration,Energy,Ordnance Survey,403552.00,591900.00,
Tony Mabey,Northumbrian Water - OS Migration,Water/Waste,Ordnance Survey,381003.00,689400.00,
Natalie Stevens,"NotSpot (Elkstone, Derbyshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"NOW (Greater London, England)",Telco,,0.00,278150.00,
Daniel Clements,Npower,Energy,,0.00,208150.00,
Natalie Stevens,NTT Global,Telco,,0.00,278150.00,
Ben Ruhrmund,NWG,Water/Waste,,0.00,711900.00,
Daniel Clements,NYnet,Telco,,0.00,278150.00,
Daniel Clements,"O2 (Berkshire, England)",Telco,,0.00,278150.00,
Fiona Frost,Ocean Winds UK Limited,Renewables,Idox,0.00,208150.00,
Natalie Stevens,"Octaplus (Hull, East Yorkshire, England)",Telco,,0.00,278150.00,
Natalie Stevens,Octopus Energy ,Energy,,0.00,614400.00,
Natalie Stevens,Offshore Wind Power Ltd,Renewables,Idox,6530.51,208150.00,
Natalie Stevens,Ogi,Telco,Idox,0.00,278150.00,
Natalie Stevens,"Ogi (Monmouthshire, Wales)",Telco,Idox,0.00,278150.00,
Ben Ruhrmund,OIKOS,Water/Waste,,0.00,240650.00,
Daniel Clements,"Onebill (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Onestream (Fareham, Portsmouth, Hampshire, England)",Telco,,0.00,278150.00,
Daniel Clements,OnPath Energy Limited,Energy,Idox,28392.96,410600.00,
Ben Ruhrmund,"OpenFibre (Hull, East Yorkshire, England)",Telco,,0.00,278150.00,
Tony Mabey,Openreach - OS Migration,Telco,Ordnance Survey,5076111.00,801900.00,
Daniel Clements,"OptaNet (Brighton, East Sussex, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Optify (Stafford, Staffordshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,Opus Energy ,Energy,,0.00,208150.00,
Ben Ruhrmund,"Origin Broadband (South Yorkshire, England)",Telco,,0.00,278150.00,
Fiona Frost,Ørsted,Renewables,,0.00,410600.00,
Daniel Clements,Orsted Onshore UK Limited,Renewables,Idox,46521.70,410600.00,
Daniel Clements,Outfox the market,Energy,,0.00,208150.00,
Ben Ruhrmund,Ovo Energy ,Energy,,0.00,614400.00,
Natalie Stevens,Palm Paper,Infrastructure (Transport),,0.00,208150.00,
Daniel Clements,"PC-Q (Wales, Powys)",Telco,,0.00,278150.00,
Nancy Chirau,PD Teesport Limited,Infrastructure (Transport),Idox,9508.41,208150.00,
Ben Ruhrmund,Perenco,Telco,,0.00,278150.00,
Daniel Clements,Petroineos,Energy,,0.00,614400.00,
Integration User,PFA Consulting,Infrastructure (Transport),Idox,6810.40,208150.00,
Natalie Stevens,"Pine Media (Sheffield, South Yorkshire, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Plusnet (Sheffield, South Yorkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"Pop Telecom (Essex, England)",Telco,,0.00,278150.00,
Daniel Clements,Portsmouth Water,Water/Waste,ESRI / OS,35000.00,475600.00,
Daniel Clements,pozitive Energy ,Energy,,0.00,410600.00,
Natalie Stevens,Premier Transmission,Energy,,0.00,208150.00,
Integration User,Pulse Clean Energy Development Ltd,Energy,Idox,0.00,208150.00,
Natalie Stevens,"Pulse Fibre (London, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Pulse8 (Devon, England)",Telco,,0.00,278150.00,
Daniel Clements,"Purefibre (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Quantum Fibre Broadband (Market Rasen, Lincoln, England)",Telco,,0.00,278150.00,
Natalie Stevens,"Quickline (East Riding of Yorkshire, England)",Telco,Landmark,215000.00,278150.00,
Daniel Clements,"Rade Systems (Saxmundham, Suffolk, England)",Telco,,0.00,278150.00,
Natalie Stevens,"RadioFibre (Okehampton, Devon, England)",Telco,,0.00,278150.00,
Fiona Frost,Rampion Extension Development Ltd,Renewables,Idox,0.00,208150.00,
Ben Ruhrmund,"Rapid Rural (Leighton Buzzard, Central Bedfordshire, England)",Telco,,0.00,278150.00,
Integration User,Rappor Consultants Ltd,Infrastructure (Transport),Idox,1253.14,208150.00,
Natalie Stevens,Rebel Energy ,Energy,,0.00,208150.00,
Daniel Clements,"Rebel Internet (London, England)",Telco,,0.00,278150.00,
Natalie Stevens,"RedRaw Internet (London, England)",Telco,,0.00,278150.00,
Ben Ruhrmund,"Reeth Rural Radio Net (Yorkshire, England)",Telco,,0.00,278150.00,
Daniel Clements,"RELIALINK (Bedfordshire, England)",Telco,,0.00,278150.00,
Daniel Clements,RES Ltd,Renewables,Idox,117751.99,614400.00,
Daniel Slater,Ricoh UK Limited,Telco,Idox,0.00,824400.00,
Nancy Chirau,Road Traffic Solutions Limited,Infrastructure (Transport),Idox,12087.00,208150.00,
Tony Mabey,Royal Mail Group - OS Migration,Infrastructure (Transport),Ordnance Survey,674407.00,591900.00,
